"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"178","10",24,"NC",4.9,NA,6,NA,"reject",NA,0,"CH",FALSE,0,0,4.7,0,NA,5,1
"179","10",24,"SC",5,NA,2.2,0.1,"accept",NA,5,"CH",TRUE,1,0,5,0,NA,9,1
"180","10",24,"BC",9,8.3,8,NA,"accept",NA,1,"CH",TRUE,0,1,8.5,0,NA,NA,1
"181","11",1,"NC",5.3,NA,3,NA,"accept",NA,4.7,"CH",TRUE,NA,NA,NA,0,4.2,3.9,NA
"182","11",1,"SC",3.9,NA,5.2,4,"reject",NA,0,"CH",FALSE,NA,1,NA,0,4.3,7,NA
"183","11",1,"BC",7,5,1,NA,"accept",NA,3,"CH",TRUE,NA,0,NA,0,NA,4.2,NA
"184","11",2,"NC",4.2,NA,3,NA,"accept",NA,5.8,"CH",TRUE,1,1,5.3,0,3.9,4.3,1
"185","11",2,"SC",4.3,NA,3,7.1,"accept",NA,5.7,"CH",TRUE,0,1,3.9,0,3.4,3.9,1
"186","11",3,"NC",3.9,NA,0.1,NA,"accept",NA,6.1,"CH",TRUE,1,1,4.2,0,2.7,3.4,1
"187","11",3,"SC",3.4,NA,2.6,4,"accept",NA,6.6,"CH",TRUE,1,1,4.3,0,3.1,7.1,1
"188","11",3,"BC",7.1,4.8,2,NA,"accept",NA,2.9,"CH",TRUE,NA,1,NA,0,4.5,2.7,NA
"189","11",4,"NC",2.7,NA,0.1,NA,"accept",NA,7.3,"CH",TRUE,1,1,3.9,0,3,3.1,1
"190","11",4,"SC",3.1,NA,3.5,2,"accept",NA,6.9,"CH",TRUE,1,1,3.4,0,3.3,4.5,1
"191","11",4,"BC",4.5,5.5,1,NA,"reject",NA,0,"CH",FALSE,1,1,7.1,0,NA,3,1
"192","11",5,"NC",3,NA,5,NA,"reject",NA,0,"CH",FALSE,1,0,2.7,0,NA,3.3,0
"193","11",5,"SC",3.3,NA,0,2,"accept",NA,6.7,"CH",TRUE,1,0,3.1,0,3.1,3.1,0
"194","11",6,"SC",3.1,NA,3.9,4.3,"reject",NA,0,"CH",FALSE,1,1,3.3,0,3.1,6.1,1
"195","11",6,"BC",6.1,8,0.1,NA,"reject",NA,0,"CH",FALSE,NA,0,NA,0,7.5,3.4,NA
"196","11",7,"NC",3.4,NA,2.3,NA,"accept",NA,6.6,"CH",TRUE,NA,0,NA,0,3.2,3.1,NA
"197","11",7,"SC",3.1,NA,1,0.1,"accept",NA,6.9,"CH",TRUE,0,1,3.1,0,NA,7.5,0
"198","11",7,"BC",7.5,7,5,NA,"accept",NA,2.5,"CH",TRUE,0,1,6.1,0,7.5,3.2,1
"199","11",8,"NC",3.2,NA,8.7,NA,"reject",NA,0,"CH",FALSE,1,1,3.4,0,NA,7.5,1
"200","11",8,"BC",7.5,8.1,3,NA,"reject",NA,0,"CH",FALSE,1,0,7.5,0,8.3,3.5,1
"201","11",9,"SC",3.5,NA,2,2,"accept",NA,6.5,"CH",TRUE,NA,0,NA,0,4,8.3,NA
"202","11",9,"BC",8.3,7.6,6,NA,"accept",NA,1.7,"CH",TRUE,0,1,7.5,0,NA,3.4,1
"203","11",10,"NC",3.4,NA,3,NA,"accept",NA,6.6,"CH",TRUE,NA,1,NA,0,3.4,4,NA
"204","11",10,"SC",4,NA,2,4.3,"accept",NA,6,"CH",TRUE,1,1,3.5,0,3.9,3.4,0
"205","11",11,"NC",3.4,NA,2.3,NA,"accept",NA,6.6,"CH",TRUE,1,1,3.4,0,6.2,3.9,1
"206","11",11,"SC",3.9,NA,2.8,4,"accept",NA,6.1,"CH",TRUE,1,1,4,0,3.8,5.1,1
"207","11",11,"BC",5.1,7.4,4,NA,"reject",NA,0,"CH",FALSE,NA,1,NA,0,7.5,6.2,NA
"208","11",12,"NC",6.2,NA,4.2,NA,"accept",NA,3.8,"CH",TRUE,1,0,3.4,0,3.9,3.8,0
"209","11",12,"SC",3.8,NA,3,0,"accept",NA,6.2,"CH",TRUE,1,1,3.9,0,3.4,7.5,1
"210","11",12,"BC",7.5,7.8,7.8,NA,"reject",NA,0,"CH",FALSE,0,1,5.1,0,8.1,3.9,1
"211","11",13,"NC",3.9,NA,3,NA,"accept",NA,6.1,"CH",TRUE,1,0,6.2,0,NA,3.4,1
